log,idx,bs,N,C,H,nomask,distribution,runs,mean_us,best_us,std_us,err_us
gpumode/trimul_a100/logs/v33_cuda_ext_c384_warp_large_nomask_leaderboard_20260507_134234.out,1,1,768,128,128,1,cauchy,6,3996.672,3988.480,9.090,3.711
gpumode/trimul_a100/logs/v33_cuda_ext_c384_warp_large_nomask_leaderboard_20260507_134234.out,2,2,256,384,128,0,normal,3,1354.411,1352.704,1.564,0.903
gpumode/trimul_a100/logs/v33_cuda_ext_c384_warp_large_nomask_leaderboard_20260507_134234.out,3,1,512,128,128,1,normal,3,1833.643,1832.960,1.182,0.683
gpumode/trimul_a100/logs/v33_cuda_ext_c384_warp_large_nomask_leaderboard_20260507_134234.out,4,1,1024,128,128,1,cauchy,23,7290.301,7267.328,34.488,7.191
gpumode/trimul_a100/logs/v33_cuda_ext_c384_warp_large_nomask_leaderboard_20260507_134234.out,5,1,768,384,128,0,normal,50,5167.718,5151.744,36.373,5.144
gpumode/trimul_a100/logs/v33_cuda_ext_c384_warp_large_nomask_leaderboard_20260507_134234.out,6,1,1024,384,128,1,normal,3,9121.792,9114.624,7.168,4.138
gpumode/trimul_a100/logs/v34_cuda_ext_gemm_algo_tune_leaderboard_20260507_141526.out,0,2,256,128,128,1,normal,6,838.485,835.584,1.879,0.767
gpumode/trimul_a100/logs/v34_cuda_ext_gemm_algo_tune_leaderboard_20260507_141526.out,1,1,768,128,128,1,cauchy,3,4041.045,4036.608,3.877,2.238
gpumode/trimul_a100/logs/v34_cuda_ext_gemm_algo_tune_leaderboard_20260507_141526.out,2,2,256,384,128,0,normal,4,1356.032,1352.704,2.420,1.210
gpumode/trimul_a100/logs/v34_cuda_ext_gemm_algo_tune_leaderboard_20260507_141526.out,3,1,512,128,128,1,normal,100,1584.753,1568.768,37.834,3.783
gpumode/trimul_a100/logs/v34_cuda_ext_gemm_algo_tune_leaderboard_20260507_141526.out,4,1,1024,128,128,1,cauchy,3,7351.637,7347.200,6.000,3.464
gpumode/trimul_a100/logs/v34_cuda_ext_gemm_algo_tune_leaderboard_20260507_141526.out,5,1,768,384,128,0,normal,4,5142.272,5132.288,9.173,4.587
gpumode/trimul_a100/logs/v34_cuda_ext_gemm_algo_tune_leaderboard_20260507_141526.out,6,1,1024,384,128,1,normal,3,9169.237,9155.584,11.868,6.852
gpumode/trimul_a100/logs/v34_cuda_ext_gemm_algo_tune_leaderboard_20260507_141803.out,0,2,256,128,128,1,normal,4,928.512,926.720,1.536,0.768
gpumode/trimul_a100/logs/v34_cuda_ext_gemm_algo_tune_leaderboard_20260507_141803.out,1,1,768,128,128,1,cauchy,40,4050.202,4030.464,47.471,7.506
gpumode/trimul_a100/logs/v34_cuda_ext_gemm_algo_tune_leaderboard_20260507_141803.out,2,2,256,384,128,0,normal,100,1189.796,1174.528,36.229,3.623
gpumode/trimul_a100/logs/v34_cuda_ext_gemm_algo_tune_leaderboard_20260507_141803.out,3,1,512,128,128,1,normal,3,1575.936,1573.888,2.709,1.564
gpumode/trimul_a100/logs/v34_cuda_ext_gemm_algo_tune_leaderboard_20260507_141803.out,4,1,1024,128,128,1,cauchy,12,7356.672,7346.176,23.355,6.742
gpumode/trimul_a100/logs/v34_cuda_ext_gemm_algo_tune_leaderboard_20260507_141803.out,5,1,768,384,128,0,normal,4,5161.472,5154.816,8.947,4.473
gpumode/trimul_a100/logs/v34_cuda_ext_gemm_algo_tune_leaderboard_20260507_141803.out,6,1,1024,384,128,1,normal,3,9182.549,9171.968,9.840,5.681
gpumode/trimul_a100/logs/v34_cuda_ext_gemm_algo_tune_leaderboard_20260507_142250.out,0,2,256,128,128,1,normal,3,933.547,931.840,1.564,0.903
gpumode/trimul_a100/logs/v34_cuda_ext_gemm_algo_tune_leaderboard_20260507_142250.out,1,1,768,128,128,1,cauchy,3,4038.997,4036.608,3.292,1.900
gpumode/trimul_a100/logs/v34_cuda_ext_gemm_algo_tune_leaderboard_20260507_142250.out,2,2,256,384,128,0,normal,100,1197.752,1186.816,19.807,1.981
gpumode/trimul_a100/logs/v34_cuda_ext_gemm_algo_tune_leaderboard_20260507_142250.out,3,1,512,128,128,1,normal,15,1593.822,1585.152,5.893,1.522
gpumode/trimul_a100/logs/v34_cuda_ext_gemm_algo_tune_leaderboard_20260507_142250.out,4,1,1024,128,128,1,cauchy,23,7372.043,7348.224,50.222,10.472
gpumode/trimul_a100/logs/v34_cuda_ext_gemm_algo_tune_leaderboard_20260507_142250.out,5,1,768,384,128,0,normal,100,5155.185,5133.312,74.051,7.405
gpumode/trimul_a100/logs/v34_cuda_ext_gemm_algo_tune_leaderboard_20260507_142250.out,6,1,1024,384,128,1,normal,3,9202.688,9199.616,3.692,2.132
gpumode/trimul_a100/logs/v35_cuda_ext_cublaslt_proj_leaderboard_20260507_144229.out,0,2,256,128,128,1,normal,3,849.237,847.872,1.182,0.683
gpumode/trimul_a100/logs/v35_cuda_ext_cublaslt_proj_leaderboard_20260507_144229.out,1,1,768,128,128,1,cauchy,3,4022.272,4016.128,5.321,3.072
gpumode/trimul_a100/logs/v35_cuda_ext_cublaslt_proj_leaderboard_20260507_144229.out,2,2,256,384,128,0,normal,100,1200.957,1179.648,46.953,4.695
gpumode/trimul_a100/logs/v35_cuda_ext_cublaslt_proj_leaderboard_20260507_144229.out,3,1,512,128,128,1,normal,3,1576.277,1575.936,0.591,0.341
gpumode/trimul_a100/logs/v35_cuda_ext_cublaslt_proj_leaderboard_20260507_144229.out,4,1,1024,128,128,1,cauchy,3,7317.504,7311.360,8.128,4.693
gpumode/trimul_a100/logs/v35_cuda_ext_cublaslt_proj_leaderboard_20260507_144229.out,5,1,768,384,128,0,normal,100,5165.445,5133.312,71.102,7.110
gpumode/trimul_a100/logs/v35_cuda_ext_cublaslt_proj_leaderboard_20260507_144229.out,6,1,1024,384,128,1,normal,3,9224.192,9217.024,9.102,5.255
gpumode/trimul_a100/logs/v35_cuda_ext_cublaslt_proj_leaderboard_20260507_145429.out,0,2,256,128,128,1,normal,6,923.136,921.600,2.123,0.867
gpumode/trimul_a100/logs/v35_cuda_ext_cublaslt_proj_leaderboard_20260507_145429.out,1,1,768,128,128,1,cauchy,3,3980.288,3979.264,1.024,0.591
gpumode/trimul_a100/logs/v35_cuda_ext_cublaslt_proj_leaderboard_20260507_145429.out,2,2,256,384,128,0,normal,100,1191.629,1182.720,17.585,1.759
gpumode/trimul_a100/logs/v35_cuda_ext_cublaslt_proj_leaderboard_20260507_145429.out,3,1,512,128,128,1,normal,3,1577.984,1575.936,2.709,1.564
gpumode/trimul_a100/logs/v35_cuda_ext_cublaslt_proj_leaderboard_20260507_145429.out,4,1,1024,128,128,1,cauchy,3,7245.824,7239.680,8.927,5.154
gpumode/trimul_a100/logs/v35_cuda_ext_cublaslt_proj_leaderboard_20260507_145429.out,5,1,768,384,128,0,normal,100,5061.099,5043.200,82.312,8.231
gpumode/trimul_a100/logs/v35_cuda_ext_cublaslt_proj_leaderboard_20260507_145429.out,6,1,1024,384,128,1,normal,3,9037.824,9025.536,10.642,6.144
gpumode/trimul_a100/logs/v35_cuda_ext_cublaslt_proj_leaderboard_20260507_151154.out,0,2,256,128,128,1,normal,3,924.672,923.648,1.024,0.591
gpumode/trimul_a100/logs/v35_cuda_ext_cublaslt_proj_leaderboard_20260507_151154.out,1,1,768,128,128,1,cauchy,8,3983.232,3972.096,10.662,3.770
gpumode/trimul_a100/logs/v35_cuda_ext_cublaslt_proj_leaderboard_20260507_151154.out,2,2,256,384,128,0,normal,6,1351.168,1348.608,2.950,1.204
gpumode/trimul_a100/logs/v35_cuda_ext_cublaslt_proj_leaderboard_20260507_151154.out,3,1,512,128,128,1,normal,100,1582.019,1566.720,26.061,2.606
gpumode/trimul_a100/logs/v35_cuda_ext_cublaslt_proj_leaderboard_20260507_151154.out,4,1,1024,128,128,1,cauchy,23,7256.287,7234.560,49.783,10.380
gpumode/trimul_a100/logs/v35_cuda_ext_cublaslt_proj_leaderboard_20260507_151154.out,5,1,768,384,128,0,normal,3,5065.728,5059.584,5.419,3.128
gpumode/trimul_a100/logs/v35_cuda_ext_cublaslt_proj_leaderboard_20260507_151154.out,6,1,1024,384,128,1,normal,3,9049.771,9037.824,14.921,8.615
gpumode/trimul_a100/logs/v32_cuda_ext_c384_warp_ln_leaderboard_20260507_145720.out,0,2,256,128,128,1,normal,6,841.216,839.680,1.916,0.782
gpumode/trimul_a100/logs/v32_cuda_ext_c384_warp_ln_leaderboard_20260507_145720.out,1,1,768,128,128,1,cauchy,3,4015.787,4014.080,1.564,0.903
gpumode/trimul_a100/logs/v32_cuda_ext_c384_warp_ln_leaderboard_20260507_145720.out,2,2,256,384,128,0,normal,100,1192.417,1179.648,37.037,3.704
gpumode/trimul_a100/logs/v32_cuda_ext_c384_warp_ln_leaderboard_20260507_145720.out,3,1,512,128,128,1,normal,7,1574.181,1566.720,3.953,1.494
gpumode/trimul_a100/logs/v32_cuda_ext_c384_warp_ln_leaderboard_20260507_145720.out,4,1,1024,128,128,1,cauchy,16,7334.528,7315.456,29.052,7.263
gpumode/trimul_a100/logs/v32_cuda_ext_c384_warp_ln_leaderboard_20260507_145720.out,5,1,768,384,128,0,normal,100,5164.339,5147.648,70.366,7.037
